"resultNumber","lemma","senseNumber","snippet"
"1","aangezien","1.0",""
"2","al","D.1.0",""
"3","\u00E0 la","1.0","op de wijze van; zoals (van)"
"4","\u00E0 la","1.1","met een eigennaam"
"5","\u00E0 la","1.2","met een soortnaam"
"6","\u00E0 la","2.0","in uit het Franse ontleende verbindingen"
"7","aleer","1.0","eer; voordat; alvorens"
"8","alhoewel","1.0",""
"9","als/ALS","",""
"10","alsmede","1.0","zoals ook; evenals"
"11","alsof","1.0",""
"12","alsook","1.0","zoals ook; evenals"
"13","althans","1.0",""
"14","alvorens","1.0",""
"15","doch","1.0",""
"16","doordat","1.0","met als oorzaak dat"
"17","doordien","0.0",""
"18","dus","1.0",""
"19","eer","",""
"20","en","1.0",""
"21","evenals","1.0",""
"22","gelijk","",""
"23","hoewel","1.0",""
"24","indien","1.0",""
"25","ingeval","1.0",""
"26","maar","",""
"27","naardien","0.0",""
"28","naarmate","1.0",""
"29","nadat","1.0","na dat wat genoemd is"
"30","noch","1.0",""
"31","nu","B.1.0",""
"32","of","1.0",""
"33","omdat","1.0",""
"34","opdat","1.0",""
"35","sedert","",""
"36","sinds","1.0",""
"37","tenware","1.0","tenzij"
"38","tenzij","1.0",""
"39","terwijl","1.0",""
"40","toen","1.0",""
"41","totdat","1.0",""
"42","vermits","1.0",""
"43","voor","",""
"44","vooraleer","1.0",""
"45","voordat","1.0",""
"46","want","",""
"47","wijl","B.1.0","omdat; doordat"
"48","wijl","B.2.0","terwijl"
"49","wijl","B.3.0","terwijl daarentegen"
"50","zoals","1.0",""
"51","zodat","1.0","met als gevolg dat"
"52","zodra","1.0",""
