"resultNumber","lemma","senseNumber","snippet"
"1","#MeToo","1.0","geval van seksueel grensoverschrijdend gedrag"
"2","007","1.0",""
"3","06-dealer","1.0","drugsdealer die via zijn mobiel werkt"
"4","06-prostitutie","1.0","prostitutie via een mobiele telefoon"
"5","0-fase","",""
"6","0-meting","",""
"7","1,5 metereconomie","1.0","economie waarin fysieke afstand de norm is"
"8","1,5 metermaatschappij","1.0","maatschappij waarin fysieke afstand nodig is"
"9","1,5 metersamenleving","1.0","samenleving waarin fysieke afstand nodig is"
"10","100 procentscontrole","1.0","zeer strenge controle van vliegtuigpassagiers"
"11","100 procentsdrugscontrole","1.0",""
"12","1040 urennorm","1.0","jaarlijkse klokuren in de onderbouw"
"13","10-logaritme","1.0","logaritme met het grondtal 10"
"14","10 minutenstad","1.0","stad met makkelijk befietsbare voorzieningen"
"15","112-alarmcentrale","1.0","alarmcentrale"
"16","112-centrale","1.0","alarmcentrale"
"17","11 juliviering","",""
"18","125cc-wedstrijd","1.0","wedstrijd met motoren van 125cc"
"19","12 minutenregel","1.0","ziekenhuisregel m.b.t. 12 minuten extra aanrijtijd"
"20","12 minutenregel","2.0","regel m.b.t. minimale hardlooptijd"
"21","15km-wedstrijd","1.0","wedstrijd over 15 km"
"22","15 minutengemeente","1.0","gemeente met voorzieningen dichtbij"
"23","15 minutenstad","1.0","stad met snel bereikbare voorzieningen"
"24","1 april","1.0","dag waarop mensen elkaar in de maling nemen"
"25","1 aprilgrap","1.0","grap op 1 april"
"26","1 aprilmop","0.0",""
"27","1 euromaaltijd","1.0","maaltijd voor 1 euro"
"28","1 euromunt","",""
"29","1G","B.1.0","getestregeling"
"30","1 literauto","1.0","eenliterauto"
"31","1 literwagen","1.0","eenliterauto"
"32","1 meiviering","1.0","viering van de Dag van de Arbeid"
"33","2.42-omroep","1.0","soort omroep"
"34","20 wekenecho","1.0","echogram bij twintig weken zwangerschap"
"35","21 juliviering","0.0",""
"36","24 urenstaking","",""
"37","24 uursdienst","",""
"38","24 uurseconomie","1.0","economie die dag en nacht doordraait"
"39","24 uursluier","1.0","luier voor incontinente bejaarden"
"40","24 uursschool","1.0","soort school"
"41","24 uursschool","1.1","gebouw van die school"
"42","24 uursservice","",""
"43","24 uursstaking","",""
"44","250cc-wedstrijd","1.0","wedstrijd met motoren van 250cc"
"45","2 euromunt","",""
"46","2-onder-1-kap","",""
"47","30 kilometerzone","1.0","zone met maximumsnelheid 30 kilometer"
"48","360 gradenfeedback","1.0","feedback vanuit verschillende hoeken"
"49","3D-echo","1.0","driedimensionaal echogram"
"50","3D-echografie","1.0","driedimensionale echografie"
"51","3D-echografie","1.1","3D-echo"
"52","3D-foodprinter","1.0",""
"53","3D-monitor","1.0","monitor met 3D-beeld"
"54","3D-printer","1.0","printer die driedimensionaal afdrukt"
