"resultNumber","lemma","senseNumber","snippet"
"1","dag","A.1.0","periode met daglicht"
"2","dag","A.1.1","toestand dat het daglicht schijnt"
"3","dag","A.1.2","het aanbreken van de dag"
"4","dag","A.1.3","figuurlijk voor: openbaarheid"
"5","dag","A.2.0","periode van morgen t/m nacht"
"6","dag","A.2.1","dag doorgebracht op specifieke wijze"
"7","dag","A.3.0","periode van 24 uur"
"8","dag","A.3.1","rotatieduur van een hemellichaam"
"9","dag","A.4.0","dag als deel van een week"
"10","dag","A.5.0","etmaal in het teken van iets"
"11","dag","A.5.1","bijeenkomst voor zeker etmaal"
"12","dag","A.6.0","voorbehouden deel van een etmaal"
"13","dag","A.7.0","tijdruimte van onbepaalde duur"
"14","dag","A.8.0","bijeenkomst gedurende een dag"
"15","dag","A.9.0","binnenvlak van een muuropening"
"16","penalty","1.0","straf in het voetbal"
"17","penalty","1.1","als uitroep"
"18","penalty","2.0","straf in andere takken van sport"
"19","penalty","2.1","straf in het handbal"
"20","penalty","2.2","straf in het korfbal"
"21","penalty","2.3","straf in het ijshockey"
"22","penalty","2.4","straf in het rugby"
"23","penalty","2.5","straf in het American football"
"24","penalty","2.6","straf in het honkbal en softbal"
"25","penalty","2.7","straf in de golfsport"
"26","penalty","2.8","straf in het snooker"
"27","penalty","2.9","straf in het shorttrack"
"28","penalty","2.10","straf in de dressuursport"
"29","penalty","2.11","straf in het horseball"
"30","penalty","2.12","straf in de autosport (formule 1)"
"31","ruimte","A.1.0","uitgestrektheid in twee of drie dimensies"
"32","ruimte","A.1.1","plaats op een pagina of bladspiegel"
"33","ruimte","A.1.2","opslagplaats voor digitale gegevens"
"34","ruimte","A.1.3","kans om iets te doen"
"35","ruimte","A.2.0","grondoppervlakte"
"36","ruimte","A.3.0","tussenruimte"
"37","ruimte","A.4.0","fysieke uitgestrektheid in alle richtingen"
"38","ruimte","A.5.0","wiskundig samenstel van punten"
"39","ruimte","B.1.0","specifieke, afgebakende of begrensde uitgestrektheid"
"40","ruimte","B.1.1","specifiek deel van een bladspiegel"
"41","ruimte","B.1.2","samenstel van specifieke mogelijkheden"
"42","ruimte","B.2.0","afgebakende grondoppervlakte"
"43","ruimte","B.3.0","specifieke tussenruimte"
"44","ruimte","B.4.0","wiskundig model van punten"
"45","ruimte","C.1.0","plaats met bewegingsvrijheid"
"46","periode","A.1.0","tijdsruimte met kenmerkende eenheid"
"47","periode","A.1.1","historische tijdsruimte"
"48","periode","A.1.2","geologische tijdsruimte"
"49","periode","A.1.3","levensfase"
"50","periode","A.1.4","deel van een kunstcarri\u00E8re"
"51","periode","A.2.0","tijdsruimte als louter duur"
"52","periode","A.2.1","deel van een sportwedstrijd"
"53","periode","A.3.0","astronomische cyclus"
"54","periode","A.4.0","omlooptijd rond een hemellichaam"
"55","periode","A.5.0","terugkerende tijdsruimte in de fysica"
"56","periode","A.6.0","menstruatieperiode"
