"resultNumber","lemma","senseNumber","snippet"
"1","007","1.0",""
"2","06-dealer","1.0","drugsdealer die via zijn mobiel werkt"
"3","45-plusser","1.0","iemand van 45 of ouder"
"4","55-plusser","1.0","iemand van 55 of ouder"
"5","65-plusser","1.0","iemand van 65 of ouder"
"6","80-jarige","",""
"7","90-jarige","",""
"8","aal","B.1.0","aalmoezenier"
"9","aalmoezenier","1.0","katholiek geestelijke in leger, e.d."
"10","Aalsmeerder","1.0","iemand uit Aalsmeer"
"11","Aalsmeerse","1.0","vrouw uit Aalsmeer"
"12","Aalstenaar","1.0","iemand uit Aalst"
"13","Aalstenaar","1.1","lid e.d. van een club uit Aalst"
"14","Aalstse","1.0","vrouw uit Aalst"
"15","Aaltenaar","1.0","iemand uit Aalten"
"16","Aaltense","1.0","vrouw uit Aalten"
"17","aanbedene","0.0",""
"18","aanbesteder","1.0",""
"19","aanbidder","1.0",""
"20","aanbiddingszanger","1.0","zanger van religieuze liederen"
"21","aanbieder","1.0","iemand die iets aanbiedt"
"22","aanbieder","2.1","bedrijf voor telecommunicatiediensten"
"23","aandachtsambtenaar","1.0","ambtenaar met \u00E9\u00E9n specifiek beleidsdomein"
"24","aandachtsjunk","1.0","aandachtstrekker"
"25","aandachtstrekker","",""
"26","aandeelhouder","1.0","aandelenbezitter"
"27","aandelenanalist","1.0",""
"28","aandelenbelegger","1.0","belegger in aandelen"
"29","aandelenbezitter","0.0",""
"30","aandelenhandelaar","0.0",""
"31","aandelenmakelaar","0.0",""
"32","aangehoudene","1.0","gearresteerde"
"33","aangeklaagde","1.0",""
"34","aangeschrevene","0.0",""
"35","aangeslotene","1.0","iemand die ergens bij aangesloten is"
"36","aangeslotene","2.0","iemand die ergens op aangesloten is"
"37","aangesprokene","1.0","iemand die aangesproken wordt"
"38","aangesprokene","2.0","iemand op wie een boodschap gericht is"
"39","aangesprokene","3.0","iemand die op iets wordt aangesproken"
"40","aangevallene","0.0",""
"41","aangever","1.0",""
