"resultNumber","lemma","senseNumber","snippet"
"1","3-methylmethcathinon","1.0","designerdrug 3-MMC"
"2","3-MMC","1.0","designerdrug 3-methylmethcathinon"
"3","4-methylmethcathinon","1.0","bepaalde opwekkende designerdrug"
"4","4-MMC","1.0","bepaalde opwekkende designerdrug"
"5","aal","A.1.1","aal als voedsel"
"6","aal","C.1.0","mestvocht; aalt"
"7","aalbessengelei","0.0",""
"8","aalbessenjenever","0.0",""
"9","aalbessensap","0.0",""
"10","aalt","1.0","mestvocht"
"11","aanmaakhout","1.0",""
"12","aap/AAP","1.2","apenvlees"
"13","aardappel","1.1","<i>aardappel</i> als stof"
"14","aardappelbloem","1.0","aardappelmeel"
"15","aardappelmeel","1.0","zetmeel van aardappelen"
"16","aardappelpuree","1.0","puree van aardappelen"
"17","aardappelzetmeel","1.0","aardappelmeel"
"18","aardbei","1.1","<i>aardbei</i> als stof"
"19","aardbeienbavarois","",""
"20","aardbeienbavaroise","",""
"21","aardbeiengelei","1.0",""
"22","aardbeienijs","0.0",""
"23","aardbeienjam","1.0",""
"24","aarder","1.1","harder als voedsel"
"25","aardewerk","2.0","gebakken klei"
"26","aardgas","1.0",""
"27","aardnotenolie","0.0",""
"28","aardolie","1.0",""
"29","aas","A.1.0","voedsel dat bestaat uit vlees van dode dieren"
"30","aas","A.2.0","lokspijs"
"31","abdijbier","1.0","bier van een abdij"
"32","abdijsiroop","0.0",""
"33","abondance","2.0","halfharde, Franse kaas"
"34","abrikoos","A.1.1","<i>abrikoos</i> als stof"
"35","abrikozenjam","0.0",""
"36","absint","1.0","kruidenlikeur"
"37","absintolie","1.0","etherische olie van absint"
"38","acajou","A.1.0","mahoniehout"
"39","acetaat","1.0","celluloseacetaat"
"40","aceton","1.0",""
"41","acetyleen","1.0","koolwaterstofgas"
"42","acetyleengas","0.0",""
"43","achterhesp","0.0",""
"44","acryl","1.0",""
"45","additief","",""
"46","adobe","1.0","bouwmateriaal met gedroogde klei"
"47","advocaat","2.0","eierlikeur"
"48","afdrukpapier","0.0",""
"49","afgas","1.0",""
"50","afingisoep","1.0","soep met geraspte bittere cassave"
"51","afrodisiacum","1.0","lustopwekkend middel"
"52","afvalgas","0.0",""
"53","afvalhout","1.0",""
"54","afvalmedicijn","1.0","medicijn ingezet als afvalmiddel"
"55","afvalwater","1.0",""
"56","afwaswater","1.0",""
"57","ajinomoto","1.0","smaakversterker"
"58","ajuin","1.1","ajuin als stof"
"59","ALA/Ala","A.2.0","alfalinoleenzuur"
"60","albumine","1.0","eiwitstof"
"61","alcohol","1.0","ethanol"
"62","alcohol","1.1","drank of dranken met alcohol"
