"resultNumber","lemma","senseNumber","snippet"
"1","AA","1.0",""
"2","aanbevelingscomit\u00E9","0.0",""
"3","aandeelhouderscommissie","0.0",""
"4","aannemerskartel","0.0",""
"5","aanplant","1.0",""
"6","aanvalsduo","1.0",""
"7","aanvoertroep","0.0",""
"8","aap/AAP","1.1","soort van de apen"
"9","aap/AAP","8.0","assisterend academisch personeel"
"10","aardewerk","1.0","voorwerpen van gebakken klei"
"11","aardewerkindustrie","0.0",""
"12","aardgasvoorraad","1.0",""
"13","aardolie-industrie","0.0",""
"14","aartsvijand","1.0",""
"15","aas","A.1.0","voedsel dat bestaat uit vlees van dode dieren"
"16","aas","A.2.0","lokspijs"
"17","aasvis","1.0","vis als lokmiddel"
"18","aasvis","2.0","vis als voedsel van roofvis"
"19","abdijcomplex","1.0",""
"20","abonnementskosten","1.0","kosten van een abonnement"
"21","a-capellakoor","0.0",""
"22","accommodatiecommissie","0.0",""
"23","accountantsgroep","0.0",""
"24","achterbankgeneratie","1.0","generatie die met de auto gebracht wordt"
"25","achtergrondkoor","1.0",""
"26","achterstandsgezin","1.0","kansarm gezin"
"27","achterstandsgroep","1.0",""
"28","achtervolgingsploeg","0.0",""
"29","achtling","1.0",""
"30","acteursbond","0.0",""
"31","acteursvakbond","0.0",""
"32","actiecomit\u00E9","1.0",""
"33","actief","B.1.0","gezamenlijke baten"
"34","actiegroep","0.0",""
"35","activiteitencommissie","0.0",""
"36","ad-hoccommissie","1.0","tijdelijke commissie"
"37","ad-hocwerkgroep","1.0","tijdelijke werkgroep"
"38","adoptiebemiddelaar","1.0","tussennpersoon bij adoptie"
"39","adoptiegezin","1.0","gezin met adoptiekinderen"
"40","adoptiegezin","2.0","gezin dat geadopteerd is"
"41","adviescomit\u00E9","0.0",""
"42","adviescommissie","1.0",""
"43","adviesgroep","1.0",""
"44","advocatenteam","0.0",""
"45","adware","1.0","software die advertenties laat verschijnen"
"46","A-elftal","1.0",""
"47","aeroclub","",""
"48","afdelingsbestuur","1.0",""
"49","afleesapparatuur","0.0",""
"50","aflossingsploeg","0.0",""
"51","afluisterapparatuur","1.0",""
"52","afpakteam","1.0","team dat crimineel geld afpakt"
"53","afscheidsbundel","0.0",""
"54","afspeelapparatuur","1.0",""
"55","afstammingsgegevens","0.0",""
"56","afval","1.0",""
"57","afvalstroom","1.0",""
"58","afvoertroepen","0.0",""
"59","afweerapparaat","0.0",""
"60","afzettingsgesteente","0.0",""
"61","agglomeratieraad","1.0","raad van een agglomeratie"
"62","agnostenclub","1.0",""
"63","agoraklas","1.0","schoolklas waarin agoraonderwijs wordt gegeven"
"64","A-groep","0.0",""
"65","agro-industrie","1.0","industrie die agrarische producten bewerkt of verwerkt"
"66","agro-industrie","1.1","geheel van bedrijven die agrarische producten bewerken of verwerken"
"67","aguinaldogroep","0.0",""
"68","aidscommissie","0.0",""
"69","akelei","1.1","bloemengeslacht van de akeleien"
"70","ALA/Ala","A.1.0","Azi\u00EB en Latijns-Amerika"
"71","alaam","1.0","gereedschap"
"72","alarmapparatuur","1.0",""
"73","alcohol","1.1","drank of dranken met alcohol"
"74","alcoholvrij","5.0","alcoholvrije dranken"
"75","alfabet","1.0",""
"76","algemeen","6.0","alle mensen samen"
"77","allweatherkleding","0.0",""
"78","alpenvereniging","1.0",""
"79","alt-light","1.0","minder extreme versie van alt-right"
"80","alt-lite","1.0","minder extreme versie van alt-right"
"81","alt-rechts","1.0","geheel van extreemrechtse groeperingen"
"82","alt-right","1.0","extreemrechtse beweging"
"83","aluminiumindustrie","0.0",""
"84","alumnivereniging","1.0","vereniging van oud-studenten"
"85","amandelschaafsel","0.0",""
"86","amateurclub","1.0","amateurvereniging"
"87","amateurgezelschap","0.0",""
"88","amateurkoor","0.0",""
"89","amateurploeg","1.0","amateurteam"
"90","amateurselectie","0.0",""
"91","amateurteam","1.0","amateurploeg"
"92","amateurvereniging","1.0","amateurclub"
"93","amateurvereniging","2.0","hobbyvereniging voor amateurs"
"94","ambassadepersoneel","1.0","personeel van een ambassade"
"95","ambtenarenapparaat","1.0",""
"96","ambtenarenbond","1.0",""
"97","ambtenarengerecht","0.0",""
"98","ambtenarenvakbond","1.0",""
"99","ambulancepersoneel","1.0","personeel op een ambulance"
"100","ammoniet/Ammoniet/Ammonieten","3.0","Semitisch volk"
"101","ammunitie","1.0","munitie; geheel van projectielen en drijfladingen die men nodig heeft voor het gebruik van vuurwapens"
"102","ammunitie","1.1","feiten die een strijd aanwakkeren"
"103","amusementsindustrie","1.0","amusementsbranche"
"104","amusementsindustrie","1.1","geheel van bedrijven die amusement aanbieden"
"105","ananas","1.2","<i>ananassen</i> als handelswaar"
"106","Andesgebergte","0.0",""
"107","andijvie","1.1","andijvie als handelswaar"
"108","anijszaad","1.0","zaad van de anijsplant"
