"resultNumber","lemma","senseNumber","snippet"
"1","@-teken","1.0","apenstaartje"
"2","100 eurobiljet","1.0","biljet van 100 euro"
"3","10 eurobiljet","1.0","biljet van 10 euro"
"4","10 minutenstad","1.0","stad met makkelijk befietsbare voorzieningen"
"5","15 minutenstad","1.0","stad met snel bereikbare voorzieningen"
"6","1 euromaaltijd","1.0","maaltijd voor 1 euro"
"7","1 euromunt","",""
"8","1 eurostuk","",""
"9","1 literauto","1.0","eenliterauto"
"10","1 literwagen","1.0","eenliterauto"
"11","200 eurobiljet","1.0","biljet van 200 euro"
"12","20 eurobiljet","1.0","biljet van 20 euro"
"13","24 uursluier","1.0","luier voor incontinente bejaarden"
"14","24 uursschool","1.1","gebouw van die school"
"15","25 meterbad","1.0","zwembad van 25 meter"
"16","2 euromunt","",""
"17","2 eurostuk","",""
"18","2-onder-1-kap","",""
"19","30 kilometergebied","1.0","30 kilometerzone"
"20","3D-foodprinter","1.0",""
"21","3D-monitor","1.0","monitor met 3D-beeld"
"22","3D-printer","1.0","printer die driedimensionaal afdrukt"
"23","3D-scanner","1.0","scanner voor 3D-beeld"
"24","3D-schaats","1.0","in twee richtingen bewegende schaats"
"25","3D-scherm","1.0",""
"26","3D-voedselprinter","1.0","3D-printer die voedsel print"
"27","3 oktobertrui","1.0","trui voor 3 oktober"
"28","45 kilometerauto","1.0","autootje met bromfietsstatus"
"29","45 kilometerwagen","1.0","autootje met bromfietsstatus"
"30","45 kilometerwagentje","1.0","autootje met bromfietsstatus"
"31","45km-auto","1.0","autootje met bromfietsstatus"
"32","45km-wagen","1.0","autootje met bromfietsstatus"
"33","45km-wagentje","1.0","autootje met bromfietsstatus"
"34","4wd","1.1","auto met vierwielaandrijving"
"35","4x4","1.1","auto met vierwielaandrijving"
"36","500 eurobiljet","1.0","biljet van 500 euro"
"37","50 eurobiljet","1.0","biljet van 50 euro"
"38","50 meterbad","1.0","zwembad van 50 meter"
"39","5 eurobiljet","1.0","biljet van 5 euro"
"40","65+-kaart","1.0",""
"41","a/A","A.1.0",""
"42","A4'tje","1.0","blad van het papierformaat A4"
"43","A4'tje","2.0","tekst op een blad in A4-formaat"
"44","aak","1.0","lang en smal vrachtvaartuig"
"45","aak","1.1","boot of klein schip"
"46","aal","A.1.1","aal als voedsel"
"47","aalbes","1.0","inheemse witte of rode bes"
"48","aalbessengelei","0.0",""
"49","aalbessenjenever","0.0",""
"50","aalbessensap","0.0",""
"51","aalpomp","0.0",""
"52","aalput","1.0","verzamelput voor mestvocht"
"53","aalput","2.0","beerput of septic tank"
"54","aambeeld","1.0",""
"55","aanbeeld","",""
"56","aanbeeldsblok","0.0",""
"57","aanbevelingsbrief","1.0","brief ter aanbeveling van iemand of iets"
"58","aanbiedingsbrief","1.0","brief waarin iets wordt aangeboden"
"59","aanbiedingsfolder","0.0",""
"60","aanbouw","1.0",""
"61","aanbrug","1.0",""
"62","aandachtsgebied","1.0",""
"63","aandachtstrekker","",""
"64","aandachtswijk","1.0","probleemwijk in herstructurering"
"65","aandeelhoudersovereenkomst","0.0",""
"66","aandenken","1.0",""
"67","aandrijfas","0.0",""
"68","aanduiding","1.0",""
"69","aangezicht","1.0","gezicht"
"70","aangiftebiljet","1.0",""
"71","aangifteformulier","1.0",""
"72","aanhaling","1.0","citaat"
"73","aanhaling","2.0","liefkozende aanraking"
"74","aanhanger","2.0","aanhangwagen"
"75","aanhangfiets","1.0",""
"76","aanhangmotor","0.0",""
"77","aanhangwagen","1.0",""
"78","aanjager","1.0",""
"79","aankomsthal","1.0",""
"80","aankomstlijn","1.0","finishlijn"
"81","aankomstplaats","1.0",""
"82","aankondigingsblad","1.0",""
"83","aankondigingsbord","0.0",""
"84","aankoopbewijs","1.0",""
"85","aankoopnota","0.0",""
"86","aanleghaven","1.0",""
"87","aanlegplaats","1.0",""
"88","aanlegsteiger","1.0",""
"89","aanleunappartement","1.0","appartement vlak bij of naast zorginstelling"
"90","aanleunwoning","1.0",""
"91","aanloophaven","1.0",""
"92","aanloophuis","0.0",""
"93","aanmaakblokje","1.0","blokje om iets veilig in brand te steken"
"94","aanmaakhout","1.0",""
"95","aanmaakhoutje","0.0",""
"96","aanmaningsbrief","1.0","brief met een aanmaning"
"97","aanmeldingsbon","",""
"98","aanmeldingsformulier","1.0",""
"99","aannemingsovereenkomst","0.0",""
"100","aanplakbiljet","1.0",""
"101","aanplakbord","1.0",""
"102","aanplakbrief","1.0","biljet dat aangeplakt wordt"
"103","aanplakzuil","1.0",""
"104","aanraakbeeldscherm","1.0","beeldscherm dat reageert op aanraking"
"105","aanraakscherm","1.0","touchscreen"
"106","aanrecht","1.0","keukenmeubel"
"107","aanrecht","1.1","aanrechtblad"
"108","aanrecht","1.2","gootsteen"
"109","aanrechtblad","1.0",""
"110","aanslagbiljet","1.0",""
"111","aanslagregelaar","0.0",""
"112","aansteker","1.0","apparaat om rookwaar mee aan te steken"
"113","aansteker","1.1","apparaat om kaarsen e.d. mee aan te steken"
"114","aanstellingsbrief","1.0","brief waarin een aanstelling bevestigd wordt"
"115","aantekenboek","1.0",""
"116","aantekenschrift","1.0",""
"117","aanvaller","1.2","organisme, bv. een dier, dat een ander dier of iets anders aanvalt; iets dat een aanval pleegt op iets anders"
"118","aanvalshelikopter","0.0",""
"119","aanvalsschip","0.0",""
"120","aanvalsvak","0.0",""
"121","aanvalsvliegtuig","0.0",""
"122","aanvalswapen","0.0",""
"123","aanvoerder","6.0","aanvoerende spier; adductor"
"124","aanvoerdersband","0.0",""
"125","aanvoerhaven","1.0",""
"126","aanvraagdossier","0.0",""
"127","aanvraagformulier","1.0",""
"128","aanwezigheidslijst","1.0","presentielijst"
"129","aanwijsstok","1.0",""
"130","aanwijzingsbord","0.0",""
"131","aanwinst","1.0",""
"132","aanzetstuk","0.0",""
"133","aanzetter","0.0",""
"134","aap/AAP","5.0","klein zeil"
"135","aapje","1.1","speelgoedaapje"
"136","aar","1.0",""
"137","aardappel","1.0","eetbare knol van de aardappelplant"
"138","aardappelcupcake","1.0","cupcake met aardappel"
"139","aardappelgerecht","1.0","gerecht met aardappelen"
"140","aardappelgeweer","1.0","schiettuig om aardappels weg te schieten"
"141","aardappelkanon","1.0","schiettuig voor aardappels"
"142","aardappelkroket","1.0","gefrituurd rolletje aardappelpuree"
"143","aardappelproduct","1.0","product van aardappelen"
"144","aardappelpuree","1.0","puree van aardappelen"
"145","aardappelsalade","1.0","salade van aardappelen"
"146","aardappelschil","1.0","schil van een aardappel"
"147","aardappelsla","1.0","salade van aardappelen"
"148","aardappelveld","1.0",""
"149","aardappelzak","0.0",""
"150","aardbei","1.0","vrucht van de aardbeiplant"
"151","aardbei","1.2","aardbeiensmaak"
"152","aardbeiboom","1.0",""
"153","aardbeienbavarois","",""
"154","aardbeienbavaroise","",""
"155","aardbeienbed","0.0",""
"156","aardbeiengelei","1.0",""
"157","aardbevingsgebied","1.0",""
"158","aardbol","1.0",""
"159","aarde","1.0",""
"160","aarder","1.1","harder als voedsel"
"161","aardgasauto","1.0","auto die op aardgas rijdt"
"162","aardgasbel","0.0",""
"163","aardgasbus","1.0","autobus die op aardgas rijdt"
"164","aardgaskachel","0.0",""
"165","aardgasleiding","1.0",""
"166","aardgasmotor","0.0",""
"167","aardgaspomp","1.0","pomp voor aardgas"
"168","aardgastank","1.0","brandstoftank voor aardgas"
"169","aardgastank","2.0","opslagtank voor aardgas"
"170","aardgastanker","0.0",""
"171","aardgastankinstallatie","1.0","tankinstallatie voor aardgas"
"172","aardgastaxi","1.0","taxi die op aardgas rijdt"
"173","aardgasvulstation","1.0","aardgastankinstallatie"
"174","aardkluit","1.0",""
"175","aardkorst","1.0",""
"176","aardleiding","0.0",""
"177","aardlekschakelaar","1.0",""
"178","aardolieproduct","1.0","product van aardolie"
"179","aardplaat","0.0",""
"180","aardrijkskundeboek","1.0","boek voor aardrijkskundeles"
"181","aardstroom","0.0",""
"182","aarsgewei","1.0","soort tatoeage"
"183","aarsopening","0.0",""
"184","aarsvin","0.0",""
"185","aas","A.1.1","stuk aas"
"186","aas","A.2.1","stukje lokspijs"
"187","aas","A.2.2","soort lokspijs"
"188","aas","B.1.0","speelkaart met waarde 1 of 11"
"189","abacus","1.0","telraam"
"190","abacus","2.0","dekplaat op een zuil"
"191","abattoir","1.1","abattoircomplex"
"192","ABC-wapen","1.0","atomair, bacteriologisch of chemisch wapen"
"193","abdij","1.0",""
"194","abdijbier","1.1","soort abdijbier"
"195","abdijbier","1.2","glas abdijbier"
"196","abdijgebouw","0.0",""
"197","abdijhoeve","0.0",""
"198","abdijkerk","1.0",""
"199","A-biljet","0.0",""
"200","A-bom","",""
"201","abongrakoekje","1.0","koekje met sesamzaad"
"202","abongrazaad","1.0","sesamzaad"
"203","abonneetaxi","1.0","taxi voor passagiers met een abonnement"
"204","abonnementskaart","0.0",""
"205","abortusboot","1.0","boot waar legaal abortussen worden gepleegd"
"206","abortuskliniek","1.0",""
"207","abortuspil","1.0",""
"208","abortusschip","1.0","abortusboot"
"209","abri","1.0","wachtruimte bij een halte"
"210","abri","2.0","rookcabine; rokershokje"
"211","abrikoos","A.1.0","oranjegele steenvrucht"
"212","abrikoos","A.1.2","kleur van abrikozen"
"213","abrikoos","A.1.3","smaak van abrikozen"
"214","abrikoos","A.1.4","geur van abrikozen"
"215","abrikozenpit","0.0",""
"216","absentenlijst","1.0","lijst van afwezigen"
"217","absentielijst","1.0","lijst van afwezigen"
"218","abstract","B.1.0","samenvatting"
"219","abstract","C.1.0","fijn houten latje"
"220","academiegebouw","1.0",""
"221","academiestad","1.0",""
"222","acceleratiepomp","0.0",""
"223","accent aigu","1.0","teken \u00B4 in spelling"
"224","accent circonflexe","1.0","teken ^ in spelling"
"225","accent circonflexe","1.1","symbool in een wiskundige formule"
"226","accent grave","1.0","teken \u00E8 in spelling"
"227","acceptgirokaart","1.0",""
"228","acces","1.0","doorgang"
"229","accordeon","1.0","draagbaar toetseninstrument"
"230","accordeon","1.1","accordeonspel"
"231","accordeon","1.2","accordeontechniek"
"232","accordeon","1.3","accordeonmuziek"
"233","accordeondeur","1.0","vouwdeur"
"234","accordeonfile","1.0","file die in en uit elkaar schuift"
