"resultNumber","lemma","senseNumber","snippet"
"1","112","1.0","natuurlijk getal"
"2","112","2.0","centraal alarmnummer"
"3","112","3.0","scheikundig element"
"4","acht","A.1.0",""
"5","achtduizend","",""
"6","achtduizendste","0.0",""
"7","achtendertig","",""
"8","achtendertigste","0.0",""
"9","achtennegentig","",""
"10","achtennegentigste","0.0",""
"11","achtentachtig","",""
"12","achtentachtigste","0.0",""
"13","achtentwintig","",""
"14","achtentwintigduizend","",""
"15","achtentwintigste","1.0",""
"16","achtenveertig","",""
"17","achtenveertigste","0.0",""
"18","achtenvijftig","",""
"19","achtenvijftigste","0.0",""
"20","achtenzestig","",""
"21","achtenzestigste","0.0",""
"22","achtenzeventig","",""
"23","achtenzeventigste","0.0",""
"24","achthonderd","",""
"25","achthonderdduizend","",""
"26","achthonderdduizendste","0.0",""
"27","achthonderdste","0.0",""
"28","acht negende","0.0",""
"29","achtste","A.1.0",""
"30","achttien","",""
"31","achttiende","",""
"32","acht tiende","0.0",""
"33","achttienduizend","",""
"34","achttienduizendste","0.0",""
"35","achttienhonderd","",""
"36","achttienhonderdste","0.0",""
"37","anderhalf","1.0",""
"38","derde","A.1.0",""
"39","dertien","",""
"40","dertiende","",""
"41","dertienduizend","",""
"42","dertienduizendste","0.0",""
"43","dertienhonderd","",""
"44","dertienhonderdste","0.0",""
"45","dertig","",""
"46","dertigduizend","",""
"47","dertigduizendste","0.0",""
"48","dertigste","",""
"49","drie","A.1.0",""
"50","drie achtste","0.0",""
"51","drieduizend","",""
"52","drieduizendste","0.0",""
"53","drie\u00EBndertig","",""
"54","drie\u00EBndertigste","0.0",""
"55","drie\u00EBnnegentig","",""
"56","drie\u00EBnnegentigste","0.0",""
"57","drie\u00EBntachtig","",""
"58","drie\u00EBntachtigste","0.0",""
"59","drie\u00EBntwintig","",""
"60","drie\u00EBntwintigduizend","",""
"61","drie\u00EBntwintigste","0.0",""
"62","drie\u00EBnveertig","",""
"63","drie\u00EBnveertigste","0.0",""
"64","drie\u00EBnvijftig","",""
"65","drie\u00EBnvijftigste","0.0",""
"66","drie\u00EBnzestig","",""
"67","drie\u00EBnzestigste","0.0",""
"68","drie\u00EBnzeventig","",""
"69","drie\u00EBnzeventigste","0.0",""
"70","driehonderd","",""
"71","driehonderdduizend","",""
"72","driehonderdduizendste","0.0",""
"73","driehonderdste","1.0",""
"74","driehonderdvijftig","",""
"75","drie negende","0.0",""
"76","drie tiende","0.0",""
"77","drie vierde","",""
"78","drie vijfde","0.0",""
"79","drie zesde","0.0",""
"80","drie zevende","0.0",""
"81","duizend","A.1.0",""
"82","duizendste","1.0",""
"83","een","C.1.0",""
"84","een achtste","0.0",""
"85","een derde","",""
"86","eenendertig","",""
